0, SirAmbush, 1247
1, TheNewt, 1233
2, Theseus, 1194
3, TacticalAmazon, 1178
4, Apollo, 1177
5, SimpleAmazon, 1154
6, Artemis, 1152
7, Kricia, 1151
8, PingMan, 1033
9, RandomMan, 985
10, NewtySimple, 833
11, Filius, 667
12, SimpleMan, 399
