TheNewt, 1178
Artemis, 1172
Apollo, 1145
SimpleAmazon, 1109
TacticalAmazon, 1104
Kricia, 1063
PingMan, 974
NewtySimple, 931
RandomMan, 904
Filius, 887
SimpleMan, 661
